tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
2022-03-01,BUY,APMEX,USD,9.95,0,0,,USA,,,-,-,,1,39.92,,,,,,,,
2024-05-04,BUY,Joe Whitehead,USD,0,0,0,,USA,,,2024,-,,1,0.00,,,,,,,,
2025-06-25,BUY,APMEX,USD,9.95,0,0,,USA,,,2025,-,,2,50.74,,,,,,,,
2025-06-28,BUY,Buckeye Gold - Westerville,USD,1.17,0,0,,USA,,,2015,-,,1,40.17,,,,,,,,
2025-06-28,BUY,Buckeye Gold - Westerville,USD,1.17,0,0,,USA,,,2016,-,,1,40.17,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1921,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1923,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1964,-,,3,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1953,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1945,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1935,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1941,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1942,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1943,-,,2,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1944,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1946,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1947,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1950,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1951,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1951,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1952,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1956,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1957,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1960,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1961,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1962,D,,2,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1963,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1963,D,,2,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1964,-,,3,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1964,D,,3,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1936,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1938,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1942,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1943,-,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1945,-,,2,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1953,D,,1,0.00,,,,,,,,
2025-06-29,BUY,Kat's Grandparents,USD,0,0,0,,USA,,,1957,-,,2,0.00,,,,,,,,
