tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
6/29/2025,Buy,Kat's Grandparents,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1921,,,1,0,None,None,0,AU50,50.0,,47.33,Morgan Box
7/12/2025,Buy,Money Metals Exchange,USD,0.8,0,0,,USA,Dollar,Morgan (1878-1921),1921,,,1,39.99,None,None,0,EF45,45.0,,44.83,Morgan Box
7/20/2025,Buy,Columbus Coin Show,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1921,,,1,35,None,None,0,VF30,30.0,,41,Morgan Box
7/20/2025,Buy,Edward Lyons / Unky,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1899,O,,1,0,None,None,0,VG8,8.0,,44.5,Morgan Box
8/7/2025,Buy,eBay - divine_62911,USD,2.28,0,0,,USA,Dollar,Morgan (1878-1921),1882,O,O over S,1,38.01,None,None,0,EF45,45.0,,55.33,Morgan Box
8/7/2025,Buy,eBay - divine_62911,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1881,S,,1,0,None,None,0,F15,15.0,,46.17,Morgan Box
8/10/2025,Buy,eBay - mbarrcoins,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1890,O,,1,34.5,None,None,0,AU58,58.0,,64,Morgan Box
8/11/2025,Buy,Don's Loans,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1887,O,,1,35,None,None,0,VF30,30.0,,48.33,Morgan Box
8/11/2025,Buy,Don's Loans,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1882,,,1,35,None,None,0,VF30,30.0,,70.67,Morgan Box
8/12/2025,Buy,Fabulous Finds,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1896,,,1,50,None,None,0,MS63,63.0,,91.67,Morgan Box
8/17/2025,Buy,Columbus Coin Show,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1884,O,,1,75,None,None,0,MS64,64.0,,126.67,Morgan Box
8/19/2025,Buy,Don's Loans,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1884,,,1,40,None,None,0,AU58,58.0,,64,Morgan Box
8/19/2025,Buy,Don's Loans,USD,0,0,0,,USA,Dollar,Morgan (1878-1921),1896,,,1,40,None,None,0,EF40,40.0,,48.67,Morgan Box
