tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
,,,,,,,,France,1 Franc,Vichy State,1942,,,1,0,,,,,,AUTO,0.3,World Coins Box
,,,,,,,,France,10 Centimes,Third Republic,1929,,,1,0,,,,,,AUTO,0.1,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,France,2 Francs,Third Republic,1924,,Open 4,1,0,,,,,,AUTO,0.50,World Coins Box
,,,,,,,,Germany,3 Mark,Weimar Republic,1922,A,,1,0,,,,,,AUTO,0.50,World Coins Box
,,,,,,,,Monaco,2 Francs,Louis II,1943,,,1,0,,,,,,AUTO,0.80,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Tunisia,2 Francs,Chambers of Commerce Coinage,1921,,,1,0,,,,,,AUTO,3.00,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,France,1 Franc,Third Republic,1922,,,1,0,,,,,,AUTO,0.20,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,France,1 Franc,Third Republic,1923,,,1,0,,,,,,AUTO,0.20,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Iceland,5 aurar,Christian X ,1940,,,1,0,,,,,,AUTO,0.80,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Germany,50 Reichspfennig,Third Reich,1943,B,,1,0,,,,,,AUTO,2.00,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Germany,10 Reichspfennig,Third Reich,1936,A,,1,0,,,,,,AUTO,4.00,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Morocco,1 Franc,Yusuf,1921,,,1,0,,,,,,AUTO,0.50,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Canada,25 Cents,George VI ,1944,,,1,0,,,,,,AUTO,4.00,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,France,25 Centimes,Third Republic,1921,,,1,0,,,,,,AUTO,0.20,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,Germany,5 Reichsmark,Third Reich,1938,A,,1,0,,,,,,AUTO,18.00,World Coins Box
2025-05-01,BUY,Edward Lyons / Unky,USD,0,0,0,,France,10 Francs,Third Republic,1934,,,1,0,,,,,,AUTO,7.50,World Coins Box
