tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
2025-06-29,Buy,Kat's Grandparents,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1921,-,,1,$0.00 ,,,,AU50,50,, $47.33 ,Morgan Box
2025-07-12,Buy,Money Metals Exchange,USD,$0.80 ,0,0,,USA,Dollar,Morgan (1878-1921),1921,-,,1,$39.99 ,,,,EF45,45,, $44.83 ,Morgan Box
2025-07-20,Buy,Columbus Coin Show,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1921,-,,1,$35.00 ,,,,VF30,30,, $41.00 ,Morgan Box
2025-07-20,Buy,Edward Lyons / Unky,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1899,O,,1,$0.00 ,,,,VG8,8,, $44.50 ,Morgan Box
2025-08-07,Buy,eBay - divine_62911,USD,$2.28 ,0,0,,USA,Dollar,Morgan (1878-1921),1882,O (O over S),,1,$38.01 ,,,,EF45,45,, $55.33 ,Morgan Box
2025-08-07,Buy,eBay - divine_62911,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1881,S,,1,$0.00 ,,,,F15,15,, $46.17 ,Morgan Box
2025-08-10,Buy,eBay - mbarrcoins,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1890,O,,1,$34.50 ,,,,AU58,58,, $64.00 ,Morgan Box
2025-08-11,Buy,Don's Loans,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1887,O,,1,$35.00 ,,,,VF30,30,, $48.33 ,Morgan Box
2025-08-11,Buy,Don's Loans,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1882,-,,1,$35.00 ,,,,VF30,30,, $70.67 ,Morgan Box
2025-08-12,Buy,Fabulous Finds,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1896,-,,1,$50.00 ,,,,MS63,63,, $91.67 ,Morgan Box
2025-08-17,Buy,Columbus Coin Show,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1884,O,,1,$75.00 ,,,,MS64,64,, $126.67 ,Morgan Box
2025-08-19,Buy,Don's Loans,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1884,-,,1,$40.00 ,,,,AU58,58,, $64.00 ,Morgan Box
2025-08-19,Buy,Don's Loans,USD,$0.00 ,0,0,,USA,Dollar,Morgan (1878-1921),1896,-,,1,$40.00 ,,,,EF40,40,, $48.67 ,Morgan Box
